עמודת 'אימות אוטומטי' כבר מולאה מול נתוני הכנסת. אדום = לתקן. כתום = הח״כ נעדר.,,,,,,,,,,,
מזהה סוגיה,הסוגיה,ח״כ,הצבעה במשחק,הצבעה רשמית בכנסת,מקור הידיעה,אימות אוטומטי,הערה / ציטוט,תמיד מופיע,הערות הבודק,עמודה נוספת (נעה),לינק לתמונה ברישיון
r1,חוק הגיוס,בנימין נתניהו,בעד,—,מתועד בשמו,לא הצביע,קידם את המהלך וגייס את הקולות ברגע האחרון,כן,,,
r1,חוק הגיוס,יאיר לפיד,נגד,—,מתועד בשמו,לא הצביע,"""אחד מרגעי החרפה הבזויים ביותר של כנסת ישראל אי פעם""",לא,,,
r1,חוק הגיוס,טלי גוטליב,בעד,—,מתועד בשמו,לא הצביע,"איימה להתנגד — ואז הצביעה בעד, לדבריה בגלל מחאה שהתקיימה מול ביתה",לא,,,
r1,חוק הגיוס,אביגדור ליברמן,נגד,—,מתועד בשמו,לא הצביע,"""מעולם לא הבנתי למה ליהודי אסור להיות לוחם""",לא,,,
r1,חוק הגיוס,אריה דרעי,בעד,—,הוסק מהצבעת הסיעה,לא הצביע,"ש""ס הצביעה בעד כחלק מהקואליציה",לא,,,
g1,הפרדה מגדרית באקדמיה,לימור סון הר מלך,בעד,—,מתועד בשמו,ללא הצבעה בודדת,"יוזמת ההצעה: ""בג""ץ כפה תפיסת עולם פרוגרסיבית רדיקלית. החוק מחזיר את חופש הבחירה""",כן,,,
g1,הפרדה מגדרית באקדמיה,משה גפני,בעד,—,הוסק מהצבעת הסיעה,ללא הצבעה בודדת,המפלגות החרדיות מקדמות את ההרחבה,לא,,,
g1,הפרדה מגדרית באקדמיה,יאיר לפיד,נגד,—,הוסק מהצבעת הסיעה,ללא הצבעה בודדת,"האופוזיציה: ""הדרת נשים""",לא,,,
g1,הפרדה מגדרית באקדמיה,טלי גוטליב,בעד,—,מתועד בשמה,,הקואליציה תמכה,לא,,,
g1,הפרדה מגדרית באקדמיה,ווליד טאהא ,נגד,,מתועד בשמו,,,,,,
g2,נישואים אזרחיים,אריה דרעי,נגד,—,מתועד בשמו,ללא הצבעה בודדת,"ש""ס מתנגדת בתוקף",לא,,,
g2,נישואים אזרחיים,גלעד קריב,בעד,—,מתועד בשמו,ללא הצבעה בודדת,העבודה תומכת בהפרדת דת ממדינה בנישואין,לא,,,
g2,נישואים אזרחיים,בצלאל סמוטריץ',נגד,—,מתועד בשמו,ללא הצבעה בודדת,הציונות הדתית מתנגדת לנישואים אזרחיים,לא,,,
,נישואים אזרחיים,אמיר אוחנה,בעד,,,,כל חברי הליכוד הצביעו נגד פרט לאמיר אוחנה.,,,נעה הוסיפה,
,נישואים אזרחיים,חילי טרופר,בעד,,,,"""כחול לבן"" תומכת בהפרדת דת ממדינה בנישואין",,,,
